Time,Construct,Dose,Replicate,RawSignal
8,pSEVA634-GFP,1,1,0.197
8.5,pSEVA634-GFP,0,1,0.193
8.5,pSEVA634-GFP,0.01,1,0.191
8.5,pSEVA634-GFP,0.05,1,0.193
8.5,pSEVA634-GFP,0.1,1,0.2
8.5,pSEVA634-GFP,0.2,1,0.223
8.5,pSEVA634-GFP,0.5,1,0.201
8.5,pSEVA634-GFP,1,1,0.206
9,pSEVA634-GFP,0,1,0.206
9,pSEVA634-GFP,0.01,1,0.206
9,pSEVA634-GFP,0.05,1,0.212
9,pSEVA634-GFP,0.1,1,0.217
9,pSEVA634-GFP,0.2,1,0.241
9,pSEVA634-GFP,0.5,1,0.219
9,pSEVA634-GFP,1,1,0.224
9.5,pSEVA634-GFP,0,1,0.225
9.5,pSEVA634-GFP,0.01,1,0.222
9.5,pSEVA634-GFP,0.05,1,0.228
9.5,pSEVA634-GFP,0.1,1,0.236
9.5,pSEVA634-GFP,0.2,1,0.257
9.5,pSEVA634-GFP,0.5,1,0.236
9.5,pSEVA634-GFP,1,1,0.241
10,pSEVA634-GFP,0,1,0.236
10,pSEVA634-GFP,0.01,1,0.236
10,pSEVA634-GFP,0.05,1,0.241
10,pSEVA634-GFP,0.1,1,0.247
10,pSEVA634-GFP,0.2,1,0.27
10,pSEVA634-GFP,0.5,1,0.249
10,pSEVA634-GFP,1,1,0.254
10.5,pSEVA634-GFP,0,1,0.246
10.5,pSEVA634-GFP,0.01,1,0.248
10.5,pSEVA634-GFP,0.05,1,0.253
10.5,pSEVA634-GFP,0.1,1,0.26
10.5,pSEVA634-GFP,0.2,1,0.284
10.5,pSEVA634-GFP,0.5,1,0.262
10.5,pSEVA634-GFP,1,1,0.267
11,pSEVA634-GFP,0,1,0.264
11,pSEVA634-GFP,0.01,1,0.258
11,pSEVA634-GFP,0.05,1,0.262
11,pSEVA634-GFP,0.1,1,0.271
11,pSEVA634-GFP,0.2,1,0.29
11,pSEVA634-GFP,0.5,1,0.274
11,pSEVA634-GFP,1,1,0.278
11.5,pSEVA634-GFP,0,1,0.265
11.5,pSEVA634-GFP,0.01,1,0.264
11.5,pSEVA634-GFP,0.05,1,0.268
11.5,pSEVA634-GFP,0.1,1,0.275
11.5,pSEVA634-GFP,0.2,1,0.301
11.5,pSEVA634-GFP,0.5,1,0.278
11.5,pSEVA634-GFP,1,1,0.282
12,pSEVA634-GFP,0,1,0.273
12,pSEVA634-GFP,0.01,1,0.273
12,pSEVA634-GFP,0.05,1,0.277
12,pSEVA634-GFP,0.1,1,0.284
12,pSEVA634-GFP,0.2,1,0.312
12,pSEVA634-GFP,0.5,1,0.286
12,pSEVA634-GFP,1,1,0.291
12.5,pSEVA634-GFP,0,1,0.28
12.5,pSEVA634-GFP,0.01,1,0.28
12.5,pSEVA634-GFP,0.05,1,0.285
12.5,pSEVA634-GFP,0.1,1,0.291
12.5,pSEVA634-GFP,0.2,1,0.32
12.5,pSEVA634-GFP,0.5,1,0.294
12.5,pSEVA634-GFP,1,1,0.297
13,pSEVA634-GFP,0,1,0.285
13,pSEVA634-GFP,0.01,1,0.286
13,pSEVA634-GFP,0.05,1,0.29
13,pSEVA634-GFP,0.1,1,0.298
13,pSEVA634-GFP,0.2,1,0.328
13,pSEVA634-GFP,0.5,1,0.3
13,pSEVA634-GFP,1,1,0.304
13.5,pSEVA634-GFP,0,1,0.289
13.5,pSEVA634-GFP,0.01,1,0.29
13.5,pSEVA634-GFP,0.05,1,0.295
13.5,pSEVA634-GFP,0.1,1,0.303
13.5,pSEVA634-GFP,0.2,1,0.334
13.5,pSEVA634-GFP,0.5,1,0.307
13.5,pSEVA634-GFP,1,1,0.31
14,pSEVA634-GFP,0,1,0.293
14,pSEVA634-GFP,0.01,1,0.296
14,pSEVA634-GFP,0.05,1,0.301
14,pSEVA634-GFP,0.1,1,0.308
14,pSEVA634-GFP,0.2,1,0.336
14,pSEVA634-GFP,0.5,1,0.312
14,pSEVA634-GFP,1,1,0.314
14.5,pSEVA634-GFP,0,1,0.295
14.5,pSEVA634-GFP,0.01,1,0.302
14.5,pSEVA634-GFP,0.05,1,0.306
14.5,pSEVA634-GFP,0.1,1,0.313
14.5,pSEVA634-GFP,0.2,1,0.34
14.5,pSEVA634-GFP,0.5,1,0.317
14.5,pSEVA634-GFP,1,1,0.319
15,pSEVA634-GFP,0,1,0.302
15,pSEVA634-GFP,0.01,1,0.315
15,pSEVA634-GFP,0.05,1,0.317
15,pSEVA634-GFP,0.1,1,0.32
15,pSEVA634-GFP,0.2,1,0.346
15,pSEVA634-GFP,0.5,1,0.324
15,pSEVA634-GFP,1,1,0.326
15.5,pSEVA634-GFP,0,1,0.313
15.5,pSEVA634-GFP,0.01,1,0.325
15.5,pSEVA634-GFP,0.05,1,0.329
15.5,pSEVA634-GFP,0.1,1,0.337
15.5,pSEVA634-GFP,0.2,1,0.355
15.5,pSEVA634-GFP,0.5,1,0.339
15.5,pSEVA634-GFP,1,1,0.343
16,pSEVA634-GFP,0,1,0.325
16,pSEVA634-GFP,0.01,1,0.323
16,pSEVA634-GFP,0.05,1,0.327
16,pSEVA634-GFP,0.1,1,0.344
16,pSEVA634-GFP,0.2,1,0.362
16,pSEVA634-GFP,0.5,1,0.348
16,pSEVA634-GFP,1,1,0.35
16.5,pSEVA634-GFP,0,1,0.331
16.5,pSEVA634-GFP,0.01,1,0.334
16.5,pSEVA634-GFP,0.05,1,0.343
16.5,pSEVA634-GFP,0.1,1,0.351
16.5,pSEVA634-GFP,0.2,1,0.377
16.5,pSEVA634-GFP,0.5,1,0.355
16.5,pSEVA634-GFP,1,1,0.359
17,pSEVA634-GFP,0,1,0.339
17,pSEVA634-GFP,0.01,1,0.334
17,pSEVA634-GFP,0.05,1,0.341
17,pSEVA634-GFP,0.1,1,0.353
17,pSEVA634-GFP,0.2,1,0.387
17,pSEVA634-GFP,0.5,1,0.355
17,pSEVA634-GFP,1,1,0.36
17.5,pSEVA634-GFP,0,1,0.337
17.5,pSEVA634-GFP,0.01,1,0.335
17.5,pSEVA634-GFP,0.05,1,0.342
17.5,pSEVA634-GFP,0.1,1,0.353
17.5,pSEVA634-GFP,0.2,1,0.39
17.5,pSEVA634-GFP,0.5,1,0.356
17.5,pSEVA634-GFP,1,1,0.359
18,pSEVA634-GFP,0,1,0.334
18,pSEVA634-GFP,0.01,1,0.331
18,pSEVA634-GFP,0.05,1,0.338
18,pSEVA634-GFP,0.1,1,0.348
18,pSEVA634-GFP,0.2,1,0.389
18,pSEVA634-GFP,0.5,1,0.355
18,pSEVA634-GFP,1,1,0.357
18.5,pSEVA634-GFP,0,1,0.332
18.5,pSEVA634-GFP,0.01,1,0.333
18.5,pSEVA634-GFP,0.05,1,0.341
18.5,pSEVA634-GFP,0.1,1,0.35
